"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","QC"," 45°28'00.000"" N"," 73°45'00.000"" W","36.0 m","7025250","71627","YUL"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Extreme Daily","9.3","10.7","11.8","13.6","14.6","14.9","14.8","14.2","12.7","10.9","9.8","8.6","",""
"Date (yyyy/dd)","2000/29","1978/28","1971/31","2000/30","1970/28","1970/12","1994/11","1987/01","1986/01","1983/10","1987/02","1999/01",""," "
"Humidex"
"Extreme Humidex","13.5","14.7","23.2","33.8","39.7","45.0","45.8","46.8","42.8","33.5","24.6","18.1","",""
"Date (yyyy/dd)","1996/19","1981/22","1977/30","2002/16","2010/26","1953/21","2002/02","1975/01","1953/04","1967/03","1971/02","1982/04",""," "
"Days with Humidex >= 30","0.0","0.0","0.0","0.1","1.8","8.8","17.0","13.7","4.4","0.3","0.0","0.0","46.1","A"
"Days with Humidex >= 35","0.0","0.0","0.0","0.0","0.4","3.0","6.1","4.7","1.0","0.0","0.0","0.0","15.1","A"
"Days with Humidex >= 40","0.0","0.0","0.0","0.0","0.0","0.5","1.4","0.6","0.0","0.0","0.0","0.0","2.5","A"
"Wind Chill"
"Extreme Wind Chill","-49.1","-46.0","-42.9","-26.3","-9.9","0.0","0.0","0.0","-4.8","-10.9","-30.7","-46.0","",""
"Date (yyyy/dd)","1976/23","1967/12","2003/03","1995/05","1978/01","1953/01","1953/01","1953/01","2000/28","1976/26","1958/30","1980/25",""," "
"Days with Wind Chill < -20","16.7","12.2","4.8","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.2","8.3","42.2","A"
"Days with Wind Chill < -30","5.3","1.7","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4","8.8","A"
"Days with Wind Chill < -40","0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.7","A"
"Humidity"
"Average Vapour Pressure (kPa)","0.3","0.3","0.4","0.6","1.0","1.5","1.8","1.7","1.4","0.9","0.6","0.4","0.9","A"
"Average Relative Humidity - 0600LST (%)","74.6","73.5","73.1","72.4","73.6","78.0","81.0","84.7","86.3","83.7","80.8","79.3","78.4","A"
"Average Relative Humidity - 1500LST (%)","68.1","63.4","58.3","51.9","51.4","55.3","56.1","56.8","59.7","62.0","68.0","71.4","60.2","A"
"Pressure"
"Average Station Pressure (kPa)","101.2","101.3","101.2","101.0","101.0","100.8","100.9","101.1","101.2","101.3","101.2","101.2","101.1","A"
"Average Sea Level Pressure (kPa)","101.7","101.7","101.6","101.4","101.4","101.3","101.3","101.5","101.7","101.7","101.7","101.7","101.6","A"
"Radiation"
"Diffuse - RF2 (MJ/m2)","94.0","130.4","187.9","","","267.2","","230.7","165.0","124.7","89.0","72.4","",""
"Extreme Global - RF1 (MJ/m2)","11.2","16.8","22.9","27.7","31.1","31.7","30.5","27.3","23.4","17.7","11.9","8.3","",""
"Date (yyyy/dd)","1994/31","1992/29","1994/30","1992/26","1997/27","1994/10","1993/01","1995/08","1992/02","1995/01","1993/02","1989/01",""," "
"Extreme Diffuse - RF2 (MJ/m2)","6.0","8.6","13.0","14.5","13.7","14.5","15.0","12.6","10.7","8.1","5.2","4.3","",""
"Date (yyyy/dd)","1993/29","1990/25","1998/23","1989/24","1997/29","1992/05","1993/05","1989/11","1990/21","1993/05","1990/13","1992/27",""," "
"Visibility (hours with)"
"< 1 km","7.6","6.8","9.1","3.3","1.3","0.8","0.2","0.8","1.8","4.9","4.3","7.1","47.9","C"
"1 to 9 km","145.7","113.7","90.7","56.8","36.5","39.5","36.5","49.2","42.4","60.1","98.5","136.6","906.3","C"
"> 9 km","590.7","556.3","644.3","659.9","706.2","679.7","707.3","694.0","675.8","679.0","617.3","600.3","7810.6","C"
"Cloud Amount (hours with)"
"0 to 2 tenths","182.3","194.0","220.0","181.7","181.4","180.4","196.9","209.1","219.4","188.3","130.3","155.2","2239.1","C"
"3 to 7 tenths","94.4","96.1","103.4","121.1","152.8","178.7","205.3","204.7","158.2","125.5","102.7","97.0","1639.9","C"
"8 to 10 tenths","467.3","386.7","420.6","417.2","409.8","360.9","341.9","330.2","342.5","430.1","487.0","491.8","4885.9","C"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","April     29","A"
"Average Date of First Fall Frost","October   12","A"
"Average Length of Frost-Free Period","165 Days","A"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","May 15","May 08","May 06","Apr 29","Apr 27","Apr 25","Apr 19"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Sep 27","Oct 02","Oct 06","Oct 09","Oct 14","Oct 15","Oct 21"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","139","152","155","160","165","169","177"
