YEAR,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1948,69.09000000000002,,623.3799999999999,208.30000000000007,487.91,723.2800000000001,140.62000000000006,333.1299999999998,305.04999999999995,152.39000000000004,37.80000000000001,,275.2,426.9899999999999,366.53999999999985,352.26,58.309999999999974,127.97,57.629999999999995,335.01,435.36999999999995,674.9999999999999,561.0699999999998,286.2999999999999,58.260000000000026,150.17000000000007,341.6000000000001,263.28000000000014,38.120000000000005,77.53999999999999,715.4500000000002,174.64000000000001,330.9099999999999,26.97,214.45000000000005,282.31999999999994,66.02000000000001,367.59999999999997,306.69000000000005,48.42999999999999,120.64999999999999,140.26000000000005,127.54000000000002,583.88,910.9399999999998,407.12,191.30000000000004,482.2900000000001,295.53,926.1499999999999,805.4100000000001
1949,368.79999999999984,,531.4599999999997,667.7199999999998,320.8200000000001,557.6100000000001,935.63,234.52999999999986,278.56000000000006,144.02999999999997,288.6999999999999,,511.03,65.92,100.14000000000006,87.03,882.31,294.61000000000007,51.61999999999999,1108.8700000000001,740.2699999999998,556.88,312.10000000000014,114.47,106.73999999999998,203.80000000000007,676.1200000000001,207.9900000000001,60.53,230.59999999999997,705.0799999999999,671.4399999999997,353.09,442.45999999999987,245.94999999999996,268.2900000000001,354.07000000000005,684.3799999999999,483.95999999999975,561.6100000000001,453.0799999999999,157.38999999999993,252.76,749.4799999999998,526.54,1711.3699999999997,649.31,551.1999999999999,188.45000000000002,1171.0699999999997,201.42000000000013
1950,50.900000000000006,,315.95000000000005,91.11999999999995,137.92000000000002,395.37000000000006,197.44999999999996,194.70000000000013,213.51000000000005,83.42999999999998,62.420000000000016,13.22,324.05000000000007,200.35000000000005,169.40999999999997,399.49000000000007,93.16999999999999,162.64999999999998,28.57,106.14999999999996,61.719999999999985,264.71999999999997,575.29,125.16,99.49000000000004,58.019999999999996,300.15,275.31999999999977,67.89999999999999,34.400000000000006,601.6799999999998,136.02000000000004,201.32999999999996,118.86999999999996,63.619999999999976,161.8400000000001,27.429999999999993,49.38000000000001,165.43999999999997,30.68,90.61999999999999,102.59000000000003,104.09999999999997,175.6499999999999,879.1999999999997,157.47000000000006,85.42,142.61,293.1899999999999,546.7099999999999,209.98999999999995
1951,103.24000000000002,,1351.4900000000007,401.0900000000001,548.36,934.0200000000001,227.42999999999992,208.42000000000007,185.16000000000003,76.20999999999998,213.03000000000003,955.2399999999999,358.07000000000005,187.66000000000005,101.99999999999999,103.78000000000002,572.1899999999997,290.9599999999999,78.73000000000002,193.05000000000004,269.06999999999994,311.53999999999985,221.85000000000005,93.36,91.25000000000003,188.52999999999997,416.61999999999995,41.749999999999986,171.47999999999993,196.43999999999988,395.01000000000005,297.51,240.62999999999994,81.36999999999998,426.9800000000001,295.7600000000002,359.93999999999977,617.84,299.8599999999999,113.30000000000001,34.30999999999998,106.72000000000001,80.63999999999999,808.7800000000002,331.40000000000003,1130.93,408.71,733.3199999999997,227.23999999999998,958.0700000000002,753.5800000000002
1952,351.71999999999997,,424.58999999999986,188.5500000000001,335.25000000000006,386.91999999999996,1179.01,119.34000000000002,286.1700000000001,109.98999999999997,225.42000000000007,,196.07,294.52,179.11000000000004,120.83999999999999,326.0699999999998,362.9700000000001,23.96999999999999,987.72,348.0399999999999,940.07,407.49,96.97999999999999,64.61999999999998,60.98999999999998,643.9200000000001,214.03,285.3100000000001,447.27,1282.7000000000003,210.63,500.59000000000015,93.5,432.13999999999993,248.00000000000006,92.03,209.72999999999985,358.49999999999994,665.7800000000002,81.69,115.25999999999998,200.47999999999993,283.26,652.5100000000001,1397.3200000000002,376.52,243.78,270.0,1140.8300000000004,231.75000000000003
1953,93.99000000000001,,557.9100000000001,727.4099999999999,438.9099999999999,684.0000000000001,99.99000000000002,115.87999999999997,44.04999999999997,38.5,86.49000000000005,,324.34000000000003,173.71,162.58,413.7799999999998,750.8700000000001,134.50999999999996,155.88999999999993,181.54999999999998,79.45999999999998,68.28000000000002,322.98,136.2199999999999,115.45999999999995,218.84000000000012,505.27000000000004,183.75000000000014,102.30000000000004,50.70999999999997,81.21000000000004,662.89,74.13999999999997,115.47000000000001,254.43000000000004,314.96000000000004,173.09,558.1400000000001,146.17999999999995,61.969999999999985,89.38,68.80999999999999,84.72999999999998,885.8199999999999,775.41,148.93,138.95999999999992,473.15000000000003,309.5600000000001,1166.8400000000001,497.53999999999974
1954,280.3899999999998,691.67,531.51,151.02999999999997,473.0500000000002,127.66,223.47000000000003,527.67,383.2999999999999,312.2699999999998,188.04000000000013,99.86,734.1699999999998,358.74,517.1199999999997,477.13999999999993,66.41000000000003,1026.0,104.95999999999992,626.7500000000001,433.86,475.05000000000007,568.61,92.93,145.94,37.87999999999999,749.9799999999998,191.60000000000002,182.19,168.21,445.79000000000013,355.99000000000007,548.3700000000001,229.32,454.18000000000006,322.2899999999999,152.17999999999998,244.3700000000001,351.84,223.67000000000002,254.90999999999997,123.53000000000004,416.4,906.1199999999999,1043.8600000000008,760.2099999999999,673.5600000000001,857.4700000000004,512.0100000000001,289.5700000000002,391.78999999999985
1955,69.68,241.86999999999998,1024.03,173.5399999999999,513.4599999999999,317.08,1256.63,26.98000000000002,57.68999999999999,38.040000000000006,68.17999999999996,1186.4400000000003,113.75999999999993,144.65,86.35999999999999,286.64000000000004,145.55999999999997,76.09,5.660000000000002,710.4800000000001,83.50999999999999,957.5000000000001,309.13000000000005,225.26999999999998,72.75,96.51999999999997,449.8199999999999,12.07,165.36999999999995,831.4399999999999,937.1000000000001,621.7499999999998,241.44000000000003,29.680000000000003,407.81000000000006,170.30999999999997,132.27,295.1600000000001,170.43,657.21,53.33,63.58999999999998,172.06999999999994,455.73,101.05000000000001,1894.9400000000007,120.10000000000004,425.03000000000003,204.22,1389.0500000000002,180.82999999999998
1956,231.74999999999994,1120.98,644.3200000000003,506.8599999999999,235.20999999999998,873.2199999999993,116.46000000000004,212.31000000000003,210.27999999999986,127.23000000000002,128.9,922.02,317.56000000000006,441.99000000000007,368.1700000000002,307.41,200.78000000000006,610.2900000000002,69.63999999999997,115.38999999999997,310.7899999999999,72.00000000000001,540.1400000000001,40.74,107.81000000000003,124.87999999999998,1016.6099999999997,178.58,55.2,35.34,340.37,495.3200000000001,308.53000000000003,178.79999999999995,362.47000000000014,477.2900000000002,440.4500000000002,135.01999999999995,397.9499999999998,22.430000000000003,384.73999999999995,86.75,617.0000000000001,755.2400000000002,284.17,340.86000000000007,634.53,481.30000000000007,587.09,715.7399999999998,640.6899999999999
1957,299.78999999999996,414.70000000000005,700.9700000000003,78.41000000000003,353.3500000000001,173.46999999999994,409.9900000000001,78.13000000000002,114.82000000000005,120.36000000000001,155.66000000000008,866.2399999999994,486.9,100.27000000000001,180.31000000000006,330.74999999999994,0.6200000000000001,557.7599999999996,34.640000000000015,478.88000000000005,79.68,222.04999999999998,234.85000000000008,229.33000000000004,61.44999999999999,102.19999999999999,528.6399999999999,16.79,592.3099999999997,69.00999999999999,458.10000000000014,747.3299999999996,233.62999999999997,43.639999999999986,629.25,86.93999999999998,66.1,879.25,117.09,72.66999999999999,248.21999999999994,81.49000000000002,455.99,471.87000000000006,1749.89,761.4599999999996,128.67,614.3699999999999,185.11000000000004,980.76,69.45999999999995
1958,242.33999999999992,562.0600000000002,825.1799999999997,173.95,235.7199999999999,566.1099999999998,645.6500000000001,118.89999999999998,187.56999999999996,266.67000000000013,175.17999999999998,95.07999999999994,591.94,233.09,396.55,463.82,3.3200000000000003,619.6400000000002,9.049999999999995,462.59,210.82999999999993,714.96,530.3800000000001,37.830000000000034,67.5,82.41,1065.4399999999996,108.78999999999999,73.59999999999998,368.01,429.0799999999999,912.1699999999995,364.1499999999999,93.72999999999996,714.58,312.7799999999999,317.88,529.02,307.17999999999995,496.84000000000003,472.1800000000001,18.410000000000004,793.5500000000002,889.5300000000003,458.83000000000004,549.1999999999999,550.1500000000001,384.17999999999995,657.1999999999996,1665.3700000000001,433.30999999999995
1959,108.19000000000003,816.5500000000001,719.0200000000002,46.49,251.82000000000002,411.5000000000001,516.4599999999998,139.7,52.169999999999995,74.68000000000002,11.539999999999997,592.6,247.20000000000013,96.16,99.64,420.25000000000017,,221.65000000000003,2.0800000000000005,270.41,76.08000000000001,123.21999999999997,147.69,80.06000000000002,66.43000000000002,84.70999999999995,625.59,29.320000000000004,220.09000000000003,76.52000000000002,502.2099999999999,484.0300000000001,140.21,73.11999999999999,899.5399999999998,124.38999999999999,29.150000000000002,447.57000000000005,247.52000000000004,35.91999999999997,82.91000000000005,129.12000000000003,275.98,360.65000000000003,670.8899999999998,525.5899999999998,349.29,512.4699999999999,406.39000000000004,384.7699999999999,281.20000000000005
1960,63.330000000000005,635.7899999999997,325.9099999999999,89.24000000000004,140.03000000000003,384.7299999999998,434.6199999999999,212.92000000000004,158.16,74.45999999999998,5.5299999999999985,828.9999999999994,421.9199999999999,224.65999999999994,223.08000000000004,63.999999999999964,,352.98,7.46,413.0500000000002,104.47999999999996,420.5799999999999,451.59000000000003,126.30000000000004,76.35,17.349999999999998,313.9900000000001,14.810000000000004,262.89000000000004,186.35999999999996,175.27000000000004,6.81,277.27000000000004,27.059999999999995,390.5599999999999,191.14999999999995,51.72,624.9399999999997,59.7,227.84000000000006,53.68000000000003,17.589999999999996,535.8999999999999,516.1899999999998,551.7699999999996,893.3199999999999,185.59999999999997,456.1999999999999,190.38999999999996,1090.16,209.63
1961,78.01000000000002,420.96000000000004,559.22,93.25999999999999,223.41999999999996,210.35000000000005,261.76,368.3500000000002,47.09000000000001,127.69000000000001,10.240000000000002,29.62,281.75000000000006,159.00000000000003,124.69,192.53000000000003,,368.6800000000001,1.2300000000000004,279.0799999999999,130.28,416.44000000000005,349.4100000000001,20.60000000000001,68.90000000000002,102.08999999999996,326.15,44.18999999999998,197.7399999999999,234.64000000000004,293.5899999999998,2.07,207.28999999999996,110.69999999999999,438.99999999999994,208.73,25.069999999999997,322.05,226.10999999999999,766.1100000000002,136.62999999999997,21.72,403.0999999999999,164.07000000000002,179.59999999999994,295.8799999999999,285.94999999999993,301.32,429.01,932.9300000000002,143.65000000000003
1962,71.58000000000006,571.5400000000001,431.74000000000007,77.60999999999999,164.86000000000004,473.99999999999994,672.06,129.41999999999993,89.19999999999996,76.09000000000002,10.190000000000001,387.28999999999996,234.11999999999992,163.36999999999998,161.79000000000005,393.63000000000005,,202.28999999999988,6.8999999999999995,718.01,96.62000000000005,511.33,318.94999999999993,47.43000000000001,119.04000000000006,31.73000000000001,1181.3600000000001,8.13,191.46999999999994,163.61999999999998,510.19000000000005,,272.9999999999999,19.269999999999996,583.2199999999999,118.46000000000004,86.46000000000001,766.2300000000001,83.07999999999998,378.9700000000001,38.39999999999998,64.25000000000003,666.3199999999999,665.6100000000005,430.5699999999999,518.32,231.09000000000003,704.0700000000002,551.1199999999999,365.34000000000003,142.93000000000006
1963,34.74000000000002,722.27,583.67,77.49999999999999,113.36,325.28000000000003,214.81000000000003,248.69000000000005,27.759999999999994,66.69000000000003,4.779999999999999,521.8300000000003,572.4800000000001,98.54999999999998,122.35999999999997,280.07000000000016,,284.8800000000001,4.260000000000002,48.489999999999995,60.08000000000001,84.1,516.6499999999999,76.78000000000002,29.84999999999999,64.05,482.41,15.859999999999998,67.74,6.440000000000001,160.61999999999998,,107.71000000000001,30.529999999999994,677.9800000000002,146.63000000000002,14.169999999999993,258.3,106.12999999999998,139.60000000000005,95.74999999999999,12.530000000000001,183.54999999999995,164.36,316.23000000000013,405.7999999999998,172.44999999999996,166.94,696.2900000000001,1413.07,97.92
